STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,sex,Sex,age,Age class,icd10,International Statistical Classification of Diseases and Related Health Problems (ICD-10),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:HLTH_CD_ASDR2(1.0),Causes of death - standardised death rate by NUTS 2 region of residence,A,Annual,RT,Rate,T,Total,TOTAL,Total,F,Mental and behavioural disorders (F00-F99),IT,Italy,2011,,24.85,,,,,
dataflow,ESTAT:HLTH_CD_ASDR2(1.0),Causes of death - standardised death rate by NUTS 2 region of residence,A,Annual,RT,Rate,T,Total,TOTAL,Total,F,Mental and behavioural disorders (F00-F99),IT,Italy,2012,,25.93,,,,,
dataflow,ESTAT:HLTH_CD_ASDR2(1.0),Causes of death - standardised death rate by NUTS 2 region of residence,A,Annual,RT,Rate,T,Total,TOTAL,Total,F,Mental and behavioural disorders (F00-F99),IT,Italy,2013,,25.18,,,,,
dataflow,ESTAT:HLTH_CD_ASDR2(1.0),Causes of death - standardised death rate by NUTS 2 region of residence,A,Annual,RT,Rate,T,Total,TOTAL,Total,F,Mental and behavioural disorders (F00-F99),IT,Italy,2014,,24.66,,,,,
dataflow,ESTAT:HLTH_CD_ASDR2(1.0),Causes of death - standardised death rate by NUTS 2 region of residence,A,Annual,RT,Rate,T,Total,TOTAL,Total,F,Mental and behavioural disorders (F00-F99),IT,Italy,2015,,29.07,,,,,
dataflow,ESTAT:HLTH_CD_ASDR2(1.0),Causes of death - standardised death rate by NUTS 2 region of residence,A,Annual,RT,Rate,T,Total,TOTAL,Total,F,Mental and behavioural disorders (F00-F99),IT,Italy,2016,,28.34,,,,,
dataflow,ESTAT:HLTH_CD_ASDR2(1.0),Causes of death - standardised death rate by NUTS 2 region of residence,A,Annual,RT,Rate,T,Total,TOTAL,Total,F,Mental and behavioural disorders (F00-F99),IT,Italy,2017,,31.23,,,,,
dataflow,ESTAT:HLTH_CD_ASDR2(1.0),Causes of death - standardised death rate by NUTS 2 region of residence,A,Annual,RT,Rate,T,Total,TOTAL,Total,F,Mental and behavioural disorders (F00-F99),IT,Italy,2018,,30.89,,,,,
dataflow,ESTAT:HLTH_CD_ASDR2(1.0),Causes of death - standardised death rate by NUTS 2 region of residence,A,Annual,RT,Rate,T,Total,TOTAL,Total,F,Mental and behavioural disorders (F00-F99),IT,Italy,2019,,31.98,,,,,
dataflow,ESTAT:HLTH_CD_ASDR2(1.0),Causes of death - standardised death rate by NUTS 2 region of residence,A,Annual,RT,Rate,T,Total,TOTAL,Total,F,Mental and behavioural disorders (F00-F99),IT,Italy,2020,,32.59,,,,,
dataflow,ESTAT:HLTH_CD_ASDR2(1.0),Causes of death - standardised death rate by NUTS 2 region of residence,A,Annual,RT,Rate,T,Total,TOTAL,Total,F,Mental and behavioural disorders (F00-F99),IT,Italy,2021,,30.22,,,,,
dataflow,ESTAT:HLTH_CD_ASDR2(1.0),Causes of death - standardised death rate by NUTS 2 region of residence,A,Annual,RT,Rate,T,Total,TOTAL,Total,F,Mental and behavioural disorders (F00-F99),IT,Italy,2022,,33.32,,,,,
dataflow,ESTAT:HLTH_CD_ASDR2(1.0),Causes of death - standardised death rate by NUTS 2 region of residence,A,Annual,RT,Rate,T,Total,TOTAL,Total,F,Mental and behavioural disorders (F00-F99),ITC,Nord-Ovest,2011,,27.08,,,,,
dataflow,ESTAT:HLTH_CD_ASDR2(1.0),Causes of death - standardised death rate by NUTS 2 region of residence,A,Annual,RT,Rate,T,Total,TOTAL,Total,F,Mental and behavioural disorders (F00-F99),ITC,Nord-Ovest,2012,,27.65,,,,,
dataflow,ESTAT:HLTH_CD_ASDR2(1.0),Causes of death - standardised death rate by NUTS 2 region of residence,A,Annual,RT,Rate,T,Total,TOTAL,Total,F,Mental and behavioural disorders (F00-F99),ITC,Nord-Ovest,2013,,27.15,,,,,
dataflow,ESTAT:HLTH_CD_ASDR2(1.0),Causes of death - standardised death rate by NUTS 2 region of residence,A,Annual,RT,Rate,T,Total,TOTAL,Total,F,Mental and behavioural disorders (F00-F99),ITC,Nord-Ovest,2014,,26.19,,,,,
dataflow,ESTAT:HLTH_CD_ASDR2(1.0),Causes of death - standardised death rate by NUTS 2 region of residence,A,Annual,RT,Rate,T,Total,TOTAL,Total,F,Mental and behavioural disorders (F00-F99),ITC,Nord-Ovest,2015,,31.28,,,,,
dataflow,ESTAT:HLTH_CD_ASDR2(1.0),Causes of death - standardised death rate by NUTS 2 region of residence,A,Annual,RT,Rate,T,Total,TOTAL,Total,F,Mental and behavioural disorders (F00-F99),ITC,Nord-Ovest,2016,,29.5,,,,,
dataflow,ESTAT:HLTH_CD_ASDR2(1.0),Causes of death - standardised death rate by NUTS 2 region of residence,A,Annual,RT,Rate,T,Total,TOTAL,Total,F,Mental and behavioural disorders (F00-F99),ITC,Nord-Ovest,2017,,32.44,,,,,
dataflow,ESTAT:HLTH_CD_ASDR2(1.0),Causes of death - standardised death rate by NUTS 2 region of residence,A,Annual,RT,Rate,T,Total,TOTAL,Total,F,Mental and behavioural disorders (F00-F99),ITC,Nord-Ovest,2018,,32.79,,,,,
dataflow,ESTAT:HLTH_CD_ASDR2(1.0),Causes of death - standardised death rate by NUTS 2 region of residence,A,Annual,RT,Rate,T,Total,TOTAL,Total,F,Mental and behavioural disorders (F00-F99),ITC,Nord-Ovest,2019,,33.27,,,,,
