"freq,unit,hlth_pb,quant_inc,sex,age,geo\TIME_PERIOD",2014 ,2019 
"A,PC,DPR,QU1,F,TOTAL,AT",8.2 ,11.5 
"A,PC,DPR,QU1,F,TOTAL,BE",: ,14.7 u
"A,PC,DPR,QU1,F,TOTAL,BG",14.3 ,11.2 
"A,PC,DPR,QU1,F,TOTAL,CY",7.5 ,5.9 
"A,PC,DPR,QU1,F,TOTAL,CZ",7.0 ,8.0 
"A,PC,DPR,QU1,F,TOTAL,DE",13.8 ,16.6 
"A,PC,DPR,QU1,F,TOTAL,DK",10.4 ,16.2 
"A,PC,DPR,QU1,F,TOTAL,EE",12.9 ,16.2 
"A,PC,DPR,QU1,F,TOTAL,EL",5.3 ,6.4 
"A,PC,DPR,QU1,F,TOTAL,ES",12.9 ,7.9 
"A,PC,DPR,QU1,F,TOTAL,EU27_2020",11.4 ,12.9 
"A,PC,DPR,QU1,F,TOTAL,EU28",11.9 ,: 
"A,PC,DPR,QU1,F,TOTAL,FI",8.5 ,11.5 
"A,PC,DPR,QU1,F,TOTAL,FR",15.0 ,19.2 
"A,PC,DPR,QU1,F,TOTAL,HR",9.0 ,13.9 
"A,PC,DPR,QU1,F,TOTAL,HU",23.7 ,10.6 
"A,PC,DPR,QU1,F,TOTAL,IE",6.4 ,9.8 
"A,PC,DPR,QU1,F,TOTAL,IS",13.4 ,10.9 
"A,PC,DPR,QU1,F,TOTAL,IT",6.3 ,6.4 
"A,PC,DPR,QU1,F,TOTAL,LT",5.7 ,12.9 
"A,PC,DPR,QU1,F,TOTAL,LU",12.5 ,13.2 
"A,PC,DPR,QU1,F,TOTAL,LV",9.9 ,12.6 
"A,PC,DPR,QU1,F,TOTAL,MT",13.6 ,14.3 
"A,PC,DPR,QU1,F,TOTAL,NL",: ,11.2 
"A,PC,DPR,QU1,F,TOTAL,NO",11.4 ,14.6 
"A,PC,DPR,QU1,F,TOTAL,PL",8.0 ,12.5 
"A,PC,DPR,QU1,F,TOTAL,PT",17.4 ,12.4 
"A,PC,DPR,QU1,F,TOTAL,RO",8.1 ,7.5 
"A,PC,DPR,QU1,F,TOTAL,RS",: ,4.5 
"A,PC,DPR,QU1,F,TOTAL,SE",15.2 ,18.7 
"A,PC,DPR,QU1,F,TOTAL,SI",9.2 ,14.0 
"A,PC,DPR,QU1,F,TOTAL,SK",5.2 ,4.8 
"A,PC,DPR,QU1,F,TOTAL,TR",9.9 ,10.3 
"A,PC,DPR,QU1,F,TOTAL,UK",15.5 ,: 
"A,PC,DPR,QU1,F,Y15-19,AT",9.0 ,: 
"A,PC,DPR,QU1,F,Y15-19,BG",5.0 u,: 
"A,PC,DPR,QU1,F,Y15-19,CY",2.2 u,: 
"A,PC,DPR,QU1,F,Y15-19,CZ",2.1 u,: 
"A,PC,DPR,QU1,F,Y15-19,DE",17.1 ,: 
"A,PC,DPR,QU1,F,Y15-19,DK",: u,: 
"A,PC,DPR,QU1,F,Y15-19,EE",9.2 u,: 
"A,PC,DPR,QU1,F,Y15-19,EL",0 u,: 
"A,PC,DPR,QU1,F,Y15-19,ES",4.0 ,: 
"A,PC,DPR,QU1,F,Y15-19,EU28",8.4 ,: 
"A,PC,DPR,QU1,F,Y15-19,FI",6.4 u,: 
"A,PC,DPR,QU1,F,Y15-19,FR",4.4 ,: 
"A,PC,DPR,QU1,F,Y15-19,HR",0 u,: 
"A,PC,DPR,QU1,F,Y15-19,HU",3.2 u,: 
"A,PC,DPR,QU1,F,Y15-19,IE",: u,: 
"A,PC,DPR,QU1,F,Y15-19,IS",19.3 u,: 
"A,PC,DPR,QU1,F,Y15-19,IT",3.1 ,: 
"A,PC,DPR,QU1,F,Y15-19,LT",0 u,: 
"A,PC,DPR,QU1,F,Y15-19,LU",13.0 u,: 
"A,PC,DPR,QU1,F,Y15-19,LV",7.8 ,: 
"A,PC,DPR,QU1,F,Y15-19,MT",: u,: 
"A,PC,DPR,QU1,F,Y15-19,NO",14.2 ,: 
"A,PC,DPR,QU1,F,Y15-19,PL",2.2 ,: 
"A,PC,DPR,QU1,F,Y15-19,PT",2.4 ,: 
"A,PC,DPR,QU1,F,Y15-19,RO",6.8 ,: 
"A,PC,DPR,QU1,F,Y15-19,SE",17.7 ,: 
"A,PC,DPR,QU1,F,Y15-19,SI",6.0 u,: 
"A,PC,DPR,QU1,F,Y15-19,SK",0 u,: 
"A,PC,DPR,QU1,F,Y15-19,TR",2.9 ,: 
"A,PC,DPR,QU1,F,Y15-19,UK",3.7 u,: 
"A,PC,DPR,QU1,F,Y15-24,AT",6.9 ,8.8 
"A,PC,DPR,QU1,F,Y15-24,BE",: ,17.7 u
"A,PC,DPR,QU1,F,Y15-24,BG",3.3 ,0 u
"A,PC,DPR,QU1,F,Y15-24,CY",1.9 ,1.3 
"A,PC,DPR,QU1,F,Y15-24,CZ",1.5 ,1.0 
"A,PC,DPR,QU1,F,Y15-24,DE",17.4 ,14.1 
"A,PC,DPR,QU1,F,Y15-24,DK",15.4 ,26.7 
"A,PC,DPR,QU1,F,Y15-24,EE",4.5 ,5.1 u
"A,PC,DPR,QU1,F,Y15-24,EL",0 ,0 
"A,PC,DPR,QU1,F,Y15-24,ES",4.9 ,2.7 
"A,PC,DPR,QU1,F,Y15-24,EU27_2020",8.7 ,9.4 
"A,PC,DPR,QU1,F,Y15-24,EU28",8.5 ,: 
"A,PC,DPR,QU1,F,Y15-24,FI",8.5 ,19.8 
"A,PC,DPR,QU1,F,Y15-24,FR",6.3 ,13.5 
"A,PC,DPR,QU1,F,Y15-24,HR",0 u,8.3 u
"A,PC,DPR,QU1,F,Y15-24,HU",6.1 ,3.9 
"A,PC,DPR,QU1,F,Y15-24,IE",9.0 u,10.0 u
"A,PC,DPR,QU1,F,Y15-24,IS",12.4 ,7.6 
"A,PC,DPR,QU1,F,Y15-24,IT",2.3 ,3.9 
"A,PC,DPR,QU1,F,Y15-24,LT",1.8 ,13.9 u
"A,PC,DPR,QU1,F,Y15-24,LU",11.2 ,16.0 
"A,PC,DPR,QU1,F,Y15-24,LV",11.8 ,10.6 u
"A,PC,DPR,QU1,F,Y15-24,MT",: u,4.0 u
"A,PC,DPR,QU1,F,Y15-24,NL",: ,5.8 
"A,PC,DPR,QU1,F,Y15-24,NO",16.2 ,16.8 
"A,PC,DPR,QU1,F,Y15-24,PL",1.3 ,2.9 
"A,PC,DPR,QU1,F,Y15-24,PT",4.4 ,7.7 
"A,PC,DPR,QU1,F,Y15-24,RO",4.8 ,0.6 
"A,PC,DPR,QU1,F,Y15-24,RS",: ,0.8 
"A,PC,DPR,QU1,F,Y15-24,SE",16.8 ,22.8 
"A,PC,DPR,QU1,F,Y15-24,SI",11.2 u,14.9 
"A,PC,DPR,QU1,F,Y15-24,SK",1.4 ,0 
"A,PC,DPR,QU1,F,Y15-24,TR",4.1 ,4.4 
"A,PC,DPR,QU1,F,Y15-24,UK",7.4 ,: 
"A,PC,DPR,QU1,F,Y15-29,AT",7.6 ,7.8 
"A,PC,DPR,QU1,F,Y15-29,BE",: ,16.5 
"A,PC,DPR,QU1,F,Y15-29,BG",2.7 ,1.8 
"A,PC,DPR,QU1,F,Y15-29,CY",2.1 ,3.2 
"A,PC,DPR,QU1,F,Y15-29,CZ",0.9 ,2.5 
"A,PC,DPR,QU1,F,Y15-29,DE",16.1 ,17.0 
"A,PC,DPR,QU1,F,Y15-29,DK",14.6 ,28.2 
"A,PC,DPR,QU1,F,Y15-29,EE",5.1 ,5.5 
"A,PC,DPR,QU1,F,Y15-29,EL",0 ,0 
"A,PC,DPR,QU1,F,Y15-29,ES",6.1 ,2.6 
"A,PC,DPR,QU1,F,Y15-29,EU27_2020",8.4 ,: 
"A,PC,DPR,QU1,F,Y15-29,EU28",8.2 e,: 
"A,PC,DPR,QU1,F,Y15-29,FI",7.2 ,19.8 
"A,PC,DPR,QU1,F,Y15-29,FR",7.2 ,15.1 
"A,PC,DPR,QU1,F,Y15-29,HR",0 ,11.6 u
"A,PC,DPR,QU1,F,Y15-29,HU",6.0 ,5.4 
"A,PC,DPR,QU1,F,Y15-29,IE",: ,12.0 
"A,PC,DPR,QU1,F,Y15-29,IS",: ,8.7 
"A,PC,DPR,QU1,F,Y15-29,IT",1.8 ,3.0 
"A,PC,DPR,QU1,F,Y15-29,LT",2.3 ,15.0 u
"A,PC,DPR,QU1,F,Y15-29,LU",11.6 ,14.0 
"A,PC,DPR,QU1,F,Y15-29,LV",11.2 ,7.7 u
"A,PC,DPR,QU1,F,Y15-29,MT",7.5 u,7.7 u
"A,PC,DPR,QU1,F,Y15-29,NL",: ,7.8 
"A,PC,DPR,QU1,F,Y15-29,NO",14.7 ,17.8 
"A,PC,DPR,QU1,F,Y15-29,PL",2.4 ,3.1 
"A,PC,DPR,QU1,F,Y15-29,PT",7.3 ,6.5 
"A,PC,DPR,QU1,F,Y15-29,RO",4.0 ,1.9 
"A,PC,DPR,QU1,F,Y15-29,RS",: ,0.6 
"A,PC,DPR,QU1,F,Y15-29,SE",16.3 ,23.5 
"A,PC,DPR,QU1,F,Y15-29,SI",8.6 ,12.5 
"A,PC,DPR,QU1,F,Y15-29,SK",2.5 ,1.3 
"A,PC,DPR,QU1,F,Y15-29,TR",6.1 ,4.3 
"A,PC,DPR,QU1,F,Y15-29,UK",9.3 ,: 
"A,PC,DPR,QU1,F,Y15-64,AT",9.6 ,10.9 
"A,PC,DPR,QU1,F,Y15-64,BE",: ,19.5 
"A,PC,DPR,QU1,F,Y15-64,BG",9.4 ,5.8 
"A,PC,DPR,QU1,F,Y15-64,CY",5.4 ,4.1 
"A,PC,DPR,QU1,F,Y15-64,CZ",6.7 ,6.9 
"A,PC,DPR,QU1,F,Y15-64,DE",15.2 ,17.8 
"A,PC,DPR,QU1,F,Y15-64,DK",13.3 ,22.2 
"A,PC,DPR,QU1,F,Y15-64,EE",10.9 ,13.5 
"A,PC,DPR,QU1,F,Y15-64,EL",4.4 ,5.2 
